run_name                                     , model_size, nodes, gpus, tp, pp, vpp , dp, seq_len, micro_batch, global_batch, precision          , prec_aware_opt, dp_strat, attention_backend, cuda_graph, fusion_opts                                                                  , mode      , target_minutes, target_steps, tok_s_gpu, status  , notes
par_tp2_pp4_dp2                              , 760m      ,     4,   16,  2,  4, none,  2,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 32575    , finished, more PP stages
par_tp4_pp4_dp1                              , 760m      ,     4,   16,  4,  4, none,  1,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 21443    , finished, one TP group per PP stage
par_3b_dp16_tp1_pp1                          , 3b        ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 19363    , finished, current 3B pure DP reference
par_3b_tp2_pp1_dp8                           , 3b        ,     4,   16,  2,  1, none,  8,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 14883    , finished, 3B tensor parallel overhead/capacity
par_3b_tp4_pp1_dp4                           , 3b        ,     4,   16,  4,  1, none,  4,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 13975    , finished, 3B full intra-node TP
par_3b_tp1_pp2_dp8                           , 3b        ,     4,   16,  1,  2, none,  8,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 16495    , finished, 3B PP overhead
par_3b_tp2_pp2_dp4                           , 3b        ,     4,   16,  2,  2, none,  4,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 13572    , finished, 3B hybrid
par_3b_tp4_pp4_dp1                           , 3b        ,     4,   16,  4,  4, none,  1,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 11862    , finished, 3B max model-parallel reference
par_8b_tp4_pp1_dp4                           , 8b        ,     4,   16,  4,  1, none,  4,    4096,           1,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,           50, 4901     , finished, first 8B rescue attempt with TP
par_8b_tp1_pp4_dp4                           , 8b        ,     4,   16,  1,  4, none,  4,    4096,           1,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,           50, 9003     , finished, first 8B rescue attempt with PP
par_8b_tp2_pp4_dp2                           , 8b        ,     4,   16,  2,  4, none,  2,    4096,           1,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,           50, 7162     , finished, 8B hybrid moderate
par_8b_tp4_pp4_dp1                           , 8b        ,     4,   16,  4,  4, none,  1,    4096,           1,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,           50, 4351     , finished, 8B strongest fit candidate
par_13b_tp1_pp8_dp2                          , 13b       ,     4,   16,  1,  8, none,  2,    4096,           1,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,           50, 4592     , finished, pure PP-heavy baseline if memory fits
par_13b_tp2_pp4_dp2                          , 13b       ,     4,   16,  2,  4, none,  2,    4096,           1,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             60,           50, 4131     , finished, main TP candidate
par_13b_tp4_pp4_dp1                          , 13b       ,     4,   16,  4,  4, none,  1,    4096,           1,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             60,           50, 3282     , finished, only as a stress test likely worse
par_13b_tp2_pp8_dp1                          , 13b       ,     4,   16,  2,  8, none,  1,    4096,           1,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             60,           50, 3830     , finished, if tp2_pp4 still too memory-heavy
par_13b_tp4_pp2_dp2                          , 13b       ,     4,   16,  4,  2, none,  2,    4096,           1,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             60,           50, 3155     , finished, should be best
fsdp_torch_z1                                , 3b        ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , none          , torch_z1, cuDNN            , none      , -grad_accum                                                                  , throughput,             30,          100, 19234    , finished, Zero-1 FSDP with torch
fsdp_torch_z2                                , 3b        ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , none          , torch_z2, cuDNN            , none      , -grad_accum                                                                  , throughput,             30,          100, 18494    , finished, Zero-2 FSDP with torch
fsdp_torch_z3                                , 3b        ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , none          , torch_z3, cuDNN            , none      , -grad_accum                                                                  , throughput,             30,          100, 18304    , finished, Zero-3 FSDP with torch
fsdp_mega_z1                                 , 3b        ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , none          , mega_z1 , cuDNN            , none      , none                                                                         , throughput,             30,          100, 19234    , finished, Zero-1 FSDP with Megatron-Core
fsdp_mega_z2                                 , 3b        ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , none          , mega_z2 , cuDNN            , none      , none                                                                         , throughput,             30,          100, 18996    , finished, Zero-2 FSDP with Megatron-Core
fsdp_mega_z3                                 , 3b        ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , none          , mega_z3 , cuDNN            , none      , none                                                                         , throughput,             30,          100, 17816    , finished, Zero-3 FSDP with Megatron-Core
final_13b_8n_tp1_pp8_dp4_fp8_mbs1_gbs512     , 13b       ,     8,   32,  1,  8, none,  4,    4096,           1,          512, bf16_fp8_delayed   , none          , distopt , cuDNN            , te        , none                                                                         , train     ,            120,          300, 4500-5200, planned , 13B PP-heavy FP8 delayed final-ascent run; maximizes model scale while keeping TP overhead out
final_13b_8n_tp1_pp8_dp4_fp8_mbs1_gbs512_vpp1, 13b       ,     8,   32,  1,  8, 1   ,  4,    4096,           1,          512, bf16_fp8_delayed   , none          , distopt , cuDNN            , te        , none                                                                         , train     ,            120,          300, 4500-5200, planned , 13B PP-heavy FP8 delayed final-ascent run; maximizes model scale while keeping TP overhead out
